2020-08-16 00:11:05,582 [   9480]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'FilenameIndex'; old = -1, new = 3 
2020-08-16 00:11:05,605 [   9503]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'FrameworkDetectionIndex'; old = -1, new = 0 
2020-08-16 00:11:05,609 [   9507]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2020-08-16 00:11:05,610 [   9508]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'TodoIndex'; old = -1, new = 4107 
2020-08-16 00:11:05,615 [   9513]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /Users/tpim/.gradle/caches/modules-2/files-2.1/com.jetbrains.intellij.idea/ideaIC/2020.1.2/86566d2c582df026dd77c0c502a21dfac312563a/ideaIC-2020.1.2/bin/mac/fsnotifier 
2020-08-16 00:11:05,618 [   9516]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2020-08-16 00:11:05,619 [   9517]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'IdIndex'; old = -1, new = 4112 
2020-08-16 00:11:05,627 [   9525]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'filetypes'; old = -1, new = 2 
2020-08-16 00:11:05,633 [   9531]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'Stubs'; old = -1, new = 46 
2020-08-16 00:11:05,751 [   9649]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'Trigram.Index'; old = -1, new = 4099 
2020-08-16 00:11:05,754 [   9652]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'fileIncludes'; old = -1, new = 6 
2020-08-16 00:11:05,791 [   9689]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'DomFileIndex'; old = -1, new = -1189920956 
2020-08-16 00:11:05,793 [   9691]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'RelaxSymbolIndex'; old = -1, new = 0 
2020-08-16 00:11:05,795 [   9693]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'XmlTagNames'; old = -1, new = 1 
